epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.039,0.86691,2.4426,1.22594,0.97435,0.45451,0.90838,0.75659,0.60392,2.87689,1.0266,0.000468651,0.000468651,0.000468651
2,217.109,0.83931,1.3674,1.15148,0.77904,0.85906,0.8756,0.74239,0.66873,2.03929,1.10922,0.000926273,0.000926273,0.000926273
3,324.861,0.82067,1.13376,1.12264,0.61206,0.80985,0.83597,0.66757,0.6814,2.01568,1.08279,0.00136503,0.00136503,0.00136503
4,433.161,0.82847,1.02486,1.12916,0.66573,0.69921,0.667,0.5236,0.6627,2.44617,1.05724,0.00134412,0.00134412,0.00134412
5,541.708,0.79243,0.92841,1.09883,0.88176,0.92985,0.9804,0.84258,0.54901,1.02639,1.00228,0.00131582,0.00131582,0.00131582
6,649.532,0.75758,0.82098,1.09381,0.9408,0.94979,0.99194,0.85133,0.59904,0.78531,1.00547,0.00128753,0.00128753,0.00128753
7,760.81,0.7423,0.75083,1.0874,0.8522,0.87878,0.97596,0.84185,0.5622,0.95101,1.00571,0.00125923,0.00125923,0.00125923
8,877.717,0.73517,0.68142,1.07766,0.93286,0.9681,0.99448,0.79627,0.75668,0.74052,1.15382,0.00123094,0.00123094,0.00123094
9,986.893,0.70897,0.63523,1.05076,0.96847,0.97761,0.99351,0.87593,0.51417,0.57369,0.93055,0.00120265,0.00120265,0.00120265
10,1095.17,0.69696,0.58972,1.05956,0.95556,0.9959,0.995,0.89288,0.48048,0.46174,0.92776,0.00117435,0.00117435,0.00117435
11,1203.47,0.6903,0.55584,1.04093,0.99313,0.99976,0.995,0.89415,0.46696,0.42204,0.917,0.00114606,0.00114606,0.00114606
12,1311.01,0.68226,0.55468,1.04175,0.9138,0.89452,0.94613,0.85196,0.44215,0.63483,0.9035,0.00111776,0.00111776,0.00111776
13,1419.61,0.6628,0.5131,1.03486,0.97725,1,0.99481,0.92215,0.42373,0.3908,0.9042,0.00108947,0.00108947,0.00108947
14,1527.35,0.63533,0.5168,1.01691,0.99751,1,0.995,0.90292,0.43385,0.36064,0.89253,0.00106118,0.00106118,0.00106118
15,1635.99,0.64953,0.46785,1.03448,0.99753,1,0.995,0.91127,0.42948,0.34666,0.90634,0.00103288,0.00103288,0.00103288
16,1744.49,0.65478,0.4708,1.02686,0.99788,1,0.995,0.90961,0.45496,0.31397,0.91447,0.00100459,0.00100459,0.00100459
17,1852.44,0.61614,0.44335,1.01743,0.98314,0.9843,0.995,0.92312,0.39282,0.33409,0.87456,0.000976293,0.000976293,0.000976293
18,1959.33,0.59924,0.42056,1.00506,0.98246,0.99678,0.995,0.90864,0.46064,0.33577,0.8899,0.000947999,0.000947999,0.000947999
19,2066.82,0.61123,0.42463,1.00545,0.99786,1,0.995,0.91049,0.44015,0.30677,0.89268,0.000919704,0.000919704,0.000919704
20,2173.99,0.59543,0.40752,1.0054,0.99776,1,0.995,0.92863,0.36883,0.26518,0.8622,0.00089141,0.00089141,0.00089141
21,2282.13,0.60722,0.40987,1.00533,0.9878,0.99265,0.99175,0.91415,0.40891,0.30796,0.88704,0.000863116,0.000863116,0.000863116
22,2391.57,0.5983,0.40264,1.00829,0.99817,1,0.995,0.91929,0.41933,0.26713,0.88198,0.000834822,0.000834822,0.000834822
23,2498.22,0.56617,0.41372,0.9916,0.99615,1,0.995,0.92471,0.38652,0.2764,0.86878,0.000806528,0.000806528,0.000806528
24,2603.57,0.5627,0.39303,0.98498,0.99805,1,0.995,0.92687,0.40612,0.25424,0.88005,0.000778233,0.000778233,0.000778233
25,2709.01,0.56737,0.37667,0.98799,0.99815,1,0.995,0.92662,0.40489,0.26472,0.8651,0.000749939,0.000749939,0.000749939
26,2814.99,0.55354,0.3633,0.99383,0.99775,1,0.995,0.93419,0.37172,0.24645,0.85599,0.000721645,0.000721645,0.000721645
27,2920.19,0.54442,0.35693,0.98079,0.99649,1,0.995,0.95243,0.3398,0.24038,0.83726,0.000693351,0.000693351,0.000693351
28,3027.04,0.544,0.36084,0.98581,0.9977,1,0.995,0.94476,0.35021,0.2312,0.84324,0.000665057,0.000665057,0.000665057
29,3132.51,0.54327,0.36516,0.98435,0.9966,1,0.995,0.94048,0.36737,0.24045,0.85535,0.000636762,0.000636762,0.000636762
30,3238.19,0.52518,0.35133,0.96886,0.99825,1,0.995,0.95104,0.33993,0.21886,0.8345,0.000608468,0.000608468,0.000608468
31,3343.83,0.51724,0.33673,0.97168,0.99822,1,0.995,0.93792,0.37673,0.24177,0.86439,0.000580174,0.000580174,0.000580174
32,3449.24,0.5015,0.33848,0.9633,0.99802,1,0.995,0.95236,0.33777,0.21542,0.84379,0.00055188,0.00055188,0.00055188
33,3554.84,0.50032,0.32577,0.96054,0.99696,1,0.995,0.95377,0.31985,0.21474,0.84131,0.000523586,0.000523586,0.000523586
34,3659.37,0.4924,0.32412,0.96203,0.99755,1,0.995,0.9357,0.39542,0.24199,0.86224,0.000495291,0.000495291,0.000495291
35,3764.14,0.49061,0.31932,0.95387,0.99772,1,0.995,0.95251,0.32575,0.21478,0.83699,0.000466997,0.000466997,0.000466997
36,3868.79,0.48602,0.3154,0.96349,0.99774,1,0.995,0.94835,0.31724,0.20655,0.82814,0.000438703,0.000438703,0.000438703
37,3973.58,0.48397,0.30706,0.96445,0.99815,1,0.995,0.93913,0.34651,0.20974,0.84195,0.000410409,0.000410409,0.000410409
38,4078.15,0.46795,0.30519,0.95124,0.99827,1,0.995,0.9543,0.32442,0.1917,0.84573,0.000382115,0.000382115,0.000382115
39,4183.33,0.4772,0.30983,0.96115,0.99823,1,0.995,0.9483,0.32905,0.20087,0.83416,0.00035382,0.00035382,0.00035382
40,4288.81,0.46291,0.30124,0.94701,0.99797,1,0.995,0.95478,0.31799,0.20687,0.83037,0.000325526,0.000325526,0.000325526
41,4392.75,0.38306,0.26557,0.89764,0.99788,1,0.995,0.94972,0.32168,0.20085,0.83698,0.000297232,0.000297232,0.000297232
42,4497.09,0.36764,0.23895,0.89896,0.99787,1,0.995,0.95096,0.31528,0.20629,0.82875,0.000268938,0.000268938,0.000268938
43,4601.42,0.35799,0.24057,0.88042,0.99834,1,0.995,0.95254,0.31785,0.19689,0.8352,0.000240644,0.000240644,0.000240644
44,4705.95,0.34049,0.22443,0.88833,0.99819,1,0.995,0.96063,0.29364,0.18631,0.81666,0.000212349,0.000212349,0.000212349
45,4810.41,0.34154,0.21495,0.8816,0.99798,1,0.995,0.96058,0.3248,0.1899,0.83511,0.000184055,0.000184055,0.000184055
46,4914.83,0.33145,0.2152,0.88151,0.99819,1,0.995,0.96315,0.29541,0.18519,0.82242,0.000155761,0.000155761,0.000155761
47,5019.76,0.32395,0.20648,0.87512,0.99816,1,0.995,0.96065,0.29221,0.17454,0.82126,0.000127467,0.000127467,0.000127467
48,5124.17,0.31809,0.20486,0.86779,0.99807,1,0.995,0.96115,0.28587,0.17844,0.81843,9.91726e-05,9.91726e-05,9.91726e-05
49,5228.63,0.30891,0.19901,0.86088,0.99817,1,0.995,0.96221,0.28824,0.17289,0.82572,7.08784e-05,7.08784e-05,7.08784e-05
50,5333.65,0.30272,0.19677,0.8753,0.9981,1,0.995,0.96114,0.28689,0.16814,0.82539,4.25842e-05,4.25842e-05,4.25842e-05
